name,image
Jon Snow,jonsnow.jpeg
Daenerys Targaryen,daenerys.jpeg
Cersei Lannister,cercei.jpeg
Sansa Stark,sansa.jpeg
Arya Stark,arya.jpeg
Jaime Lannister,jamie_lannister.jpeg
Theon Greyjoy,theon_greyjoy.jpeg
Samwell Tarly,sam.jpeg
Jorah Mormont,jorah.jpeg
Petyr 'Littlefinger' Baelish,littlefinger.jpeg
Brienne of Tarth,brieene.jpeg
Davos Seaworth,davos.jpeg
Bran Stark,bran_stark.jpeg
Lord Varys,varys.jpeg
Sandor 'The Hound' Clegane,thehound.jpeg
Melisandre,mellisandre.jpeg
Bronn,bronn.jpeg
Gilly,gilly.jpg
Daario Naharis,darrio.jpeg
Missandei,missandrei.jpeg
Tormund Giantsbane,tormund.jpeg
Podrick Payne,poddrick.jpeg
Olenna Tyrell,olenna_tyrell.jpeg
Grey Worm,greyworm.jpeg
Eddison Tollett,eddison.jpeg
Gendry,gendry.jpeg
Yara Greyjoy,yara.jpeg
Meera Reed,meera.jpeg
Jaqen H'ghar,jaqen.jpeg
Qyburn,qyburn.jpeg
Ellaria Sand,ellaria_sand.jpeg
Edmure Tully,edmure_tully.jpeg
Gregor Clegane,gregor_clegane.jpeg
Thoros of Myr,thoros.jpeg
Waif,waif.jpeg
Hot Pie,hotpie.jpeg
Septa Unella,septa.jpeg
Robin Arryn,robin_arryn.jpeg
Tyrion Lannister,tyrion.jpeg
Euron Greyjoy,euron_greyjoy.jpeg
